epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.1484,0.33815,1.29159,1.00447,0.74887,0.63902,0.7257,0.69261,0.53424,1.41287,0.24631,0.000553251,0.000553251,0.000553251
2,114.422,0.19289,0.59336,0.91459,0.91343,0.76261,0.85679,0.82661,0.34339,1.75355,0.55625,0.00108696,0.00108696,0.00108696
3,168.566,0.16648,0.52054,0.90655,0.88882,0.7748,0.87716,0.87153,0.1831,1.35956,1.06179,0.00159867,0.00159867,0.00159867
4,222.419,0.16098,0.4906,0.90463,0.87382,0.74593,0.85648,0.85648,0.21395,1.65961,1.11361,0.00156798,0.00156798,0.00156798
5,274.586,0.14205,0.45167,0.8999,0.89235,0.85569,0.91946,0.87904,0.46609,2.01503,1.36671,0.00153497,0.00153497,0.00153497
6,326.522,0.13097,0.43485,0.8966,0.92905,0.85333,0.9032,0.9032,0.17735,2.1934,1.10169,0.00150197,0.00150197,0.00150197
7,377.963,0.1268,0.41885,0.89732,0.93761,0.77378,0.90463,0.89855,0.24561,2.21439,1.12368,0.00146896,0.00146896,0.00146896
8,430.307,0.11705,0.40151,0.89475,0.94095,0.93293,0.97748,0.97748,0.11846,0.40337,1.07716,0.00143595,0.00143595,0.00143595
9,483.074,0.11306,0.40306,0.89458,0.88299,0.84106,0.91601,0.88002,0.31199,1.47183,1.19152,0.00140295,0.00140295,0.00140295
10,535.414,0.10876,0.38622,0.89369,0.85381,0.91382,0.94508,0.93736,0.19489,0.65067,1.09436,0.00136994,0.00136994,0.00136994
11,586.746,0.10409,0.37236,0.89151,0.90872,0.71789,0.87251,0.87128,0.15783,2.62909,1.08425,0.00133693,0.00133693,0.00133693
12,638.393,0.10034,0.36574,0.89273,0.91434,0.87967,0.93424,0.9341,0.09332,1.12361,1.06964,0.00130393,0.00130393,0.00130393
13,690.329,0.09529,0.36486,0.89081,0.92389,0.83822,0.8964,0.8943,0.11007,2.9063,1.07493,0.00127092,0.00127092,0.00127092
14,741.815,0.09364,0.36152,0.89205,0.97875,0.70439,0.91701,0.91693,0.13102,2.04444,1.06715,0.00123791,0.00123791,0.00123791
15,792.631,0.09481,0.35968,0.89079,0.94097,0.86359,0.94427,0.94427,0.0805,0.92144,1.05196,0.00120491,0.00120491,0.00120491
16,844.739,0.08917,0.34633,0.89275,0.93658,0.86147,0.93548,0.93524,0.13388,1.50385,1.11252,0.0011719,0.0011719,0.0011719
17,896.798,0.08791,0.34544,0.89218,0.82788,0.69664,0.79771,0.79715,0.08907,3.91083,1.06729,0.00113889,0.00113889,0.00113889
18,948.848,0.08417,0.34214,0.88954,0.69704,0.71707,0.75245,0.74547,0.18009,2.30972,1.1435,0.00110589,0.00110589,0.00110589
